,,Insertion_sort,,Merge_sort
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
644,34667,103578,34333,2679
645,34000,101721,32500,2662
646,34500,103840,30542,2693
647,36083,106254,31500,2694
648,35250,106432,31583,2690
649,59916,101986,35334,2704
650,36166,109597,31208,2738
651,35042,104166,37750,2697
652,35250,105034,31500,2735
653,37209,108372,37333,2697
654,36958,110299,33708,2720
655,36458,104956,35500,2749
656,36125,108684,31416,2721
657,36125,106331,32125,2732
658,34625,103628,31500,2770
659,35375,105536,35875,2782
660,35417,106161,36667,2744
661,36792,110111,32125,2790
662,34250,102885,32917,2776
663,37125,110000,32792,2795
664,37250,113577,32209,2773
665,37625,111329,35792,2784
666,37666,107313,37083,2782
667,38708,109529,38792,2794
668,39875,113845,38583,2783
669,37208,109366,36125,2799
670,37583,109197,35209,2835
671,36750,111167,33041,2800
672,37000,112503,32125,2835
673,38750,117291,33458,2845
674,36500,110953,34833,2844
675,37542,114238,34583,2806
676,37750,114760,33125,2829
677,39041,116026,34042,2816
678,37125,112270,33292,2870
679,38791,115939,37541,2868
680,38417,115735,33125,2868
681,39834,117095,39041,2857
682,36958,111387,36208,2873
683,39042,114998,33959,2849
684,39042,118822,31958,2870
685,40041,119529,35917,2897
686,37792,113696,33875,2893
687,43042,115727,37209,2905
688,39250,117271,32959,2943
689,39916,118605,37459,2932
690,38625,116924,32791,2937
691,41625,118257,38584,2966
692,39459,118816,33208,2916
693,42167,120616,35250,2931
694,38791,116678,33375,2945
695,39916,116863,36459,2952
696,41041,117603,35750,2946
697,40250,120330,34000,2957
698,42292,127786,34334,2965
699,40833,120505,36791,2917
700,41958,121002,38458,2970
701,40833,122859,33792,2905
702,39292,119113,33083,2958
703,39708,119491,33667,3030
704,41208,126014,34250,2976
705,40792,124655,33333,2982
706,40750,122798,39375,2944
707,42000,127662,34875,3020
708,40958,124995,33750,3005
709,41959,125049,39625,3011
710,41291,125202,33875,3008
711,42458,128302,34583,3029
712,42042,128050,34125,2976
713,39500,117080,36000,3011
714,42542,123482,44709,3022
715,48625,129070,43000,3000
716,42041,127370,36875,3061
717,43584,122182,44875,3069
718,42042,125425,35625,2999
719,45292,127880,40584,3071
720,42792,127599,39000,3038
721,44458,129166,37083,3093
722,44334,132205,38833,3050
723,45875,138076,37583,3020
724,44167,131430,38542,3047
725,43166,128164,39416,3082
726,57666,134512,56708,3071
727,43542,130108,38625,3074
728,123417,139211,47042,3082
729,44708,134182,38583,3118
730,49292,130325,39709,3110
731,45083,137436,35334,3103
732,44708,137522,36167,3120
733,45709,139763,38000,3115
734,41916,127830,35791,3124
735,44792,135130,41708,3098
736,45041,133017,45459,3094
737,66000,132240,40833,3121
738,64666,134828,43542,3142
739,43625,130348,37333,3121
740,65541,140817,62292,3130
741,71750,141555,64208,3195
742,45625,137042,38292,3151
743,46875,136762,70125,3198
744,47125,142352,58125,3166
745,45833,137290,58500,3156
746,46500,140952,40500,3167
747,59125,140441,56958,3183
748,61833,138169,57542,3158
749,93709,139617,49958,3178
750,46667,139822,43791,3162
751,75959,147812,48417,3176
752,45625,138872,40042,3163
753,47583,143612,42208,3202
754,45958,137087,43666,3211
755,46917,141525,43166,3221
756,58709,144204,47459,3238
757,51917,140415,46417,3193
758,63042,143184,52833,3225
759,47917,143924,42625,3245
760,48334,146888,41250,3224
761,71000,144245,42542,3239
762,113083,144370,52458,3285
763,56000,146222,90584,3234
764,48709,145560,42625,3189
765,47417,139690,43750,3241
766,48917,146495,42417,3243
767,49708,148315,44167,3239
768,64375,149911,59000,3248
769,55083,146473,50291,3268
770,48000,148016,36833,3265
771,49792,153369,41416,3279
772,48708,145255,50666,3267
773,50416,149067,47000,3277
774,50250,150742,42875,3266
775,53291,162507,43625,3323
776,55917,152941,47375,3284
777,51084,153614,44958,3342
778,48417,147847,43542,3308
779,50875,158114,39041,3316
780,50042,155764,39292,3348
781,48875,151371,38709,3331
782,50166,155428,41083,3295
783,52583,159626,44042,3336
784,49000,151696,40709,3331
785,51083,157055,39417,3362
786,49750,153864,39542,3333
787,51167,154588,43791,3343
788,48750,149217,41542,3379
789,51833,155453,54542,3329
790,52000,162220,39042,3374
791,50292,155640,38958,3411
792,52417,163174,38834,3421
793,52083,160508,42167,3446
794,50834,155943,40167,3393
795,48750,150139,41417,3456
796,53292,166112,40916,3436
797,53041,163582,43291,3437
798,52000,160877,42417,3410
799,53375,159753,51625,3404
800,53292,164702,39958,3394
801,54250,162733,46208,3424
802,54292,168215,53792,3496
803,54916,166545,58709,3451
804,51541,158806,39791,3442
805,65000,167064,57792,3484
806,52709,162263,40834,3449
807,55833,166582,44458,3519
808,54083,166653,41667,3452
809,56208,160928,50583,3480
810,56167,172147,44333,3515
811,56666,172956,46416,3515
812,53750,161875,46333,3500
813,53292,161917,43250,3523
814,55583,168216,46208,3543
815,61583,164173,47708,3523
816,54750,168972,40125,3493
817,53375,164327,41750,3550
818,53583,164525,42834,3541
819,53583,163487,42167,3521
820,51833,160594,41083,3516
821,56792,172126,48292,3550
822,56417,166004,49083,3528
823,62542,173945,48666,3549
824,54167,167169,41375,3583
825,58916,170985,43084,3577
826,54291,164854,46000,3578
827,57792,178286,43667,3574
828,54375,168483,39708,3576
829,56583,176008,40500,3622
830,55958,172779,40750,3578
831,54417,167372,42500,3552
832,57792,172133,51250,3606
833,55083,167131,46291,3610
834,56250,172382,43583,3630
835,69916,176340,46125,3600
836,56500,174198,43041,3641
837,57333,175617,62750,3649
838,59708,181763,59417,3655
839,57667,170894,51667,3615
840,73666,179880,49875,3650
841,58333,180482,42792,3679
842,61667,179851,41750,3642
843,58500,177599,50958,3630
844,58209,175857,47250,3684
845,56125,171156,46750,3708
846,58042,180254,43000,3667
847,57833,178499,61792,3638
848,56458,175722,42042,3660
849,56917,175706,44542,3714
850,59542,184906,43041,3731
