,Mersertion,,Merge
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
7346240,625553958,155641660,686260334,79694336
8612598,700129833,168551758,808506250,94199829
8857097,716861708,171635337,833487375,97283628
6616212,583625542,149113344,625613416,71498913
8348467,681178875,166113686,784187583,90814257
5075828,501141291,136491798,470856084,53949952
6742414,591580333,150087204,639522750,72959600
7242451,621340917,154661396,677892167,78633201
5160504,505304500,137048215,479141042,54870529
5762104,537361042,141482383,542353584,61724283
7456069,631823625,156526713,699154750,81058530
8760533,703239750,171039632,824929042,96098847
6663346,591025125,149458083,625530709,72058296
2737055,371162625,111825343,250938416,27886751
6136068,557755042,144448351,574231583,65925535
3461617,408945583,117482782,317990625,35803362
3058912,392865625,114075899,279640833,31340293
1347940,292703708,99396769,120687542,13043427
8273214,677271208,165483900,777677292,90066249
9572827,747204875,178368750,904922916,106023159
6248201,565130916,145314137,584309709,67085440
2459794,354464000,107772447,223258625,24858072
6877003,598816917,151745190,643341500,74510947
6011678,557130292,143426655,560814041,64561641
6972942,604221333,152313835,651986459,75645193
3757318,426043208,120926791,347660292,38998810
9836275,768534625,180891189,927788083,109239261
1861527,319458709,102821239,168561500,18375951
6906585,599695166,151875520,647374917,74869742
646697,254002750,93902125,56002291,5905553
9609157,751355000,178623265,903017250,106490189
9496723,745037292,177631801,891284875,105053290
3939351,434584500,122031419,369759583,40921342
4414503,462514209,126296737,409215000,46263485
1431394,297249750,99921248,128738083,13908806
5184141,507291666,137160192,481763875,55121663
7609171,639881875,159958849,719324666,82804204
9803939,761802375,180604933,924185834,108869630
3334776,403181708,116379447,306425709,34396504
1430673,297917000,99898620,128374541,13900910
9222113,731318542,174880482,866269000,101796444
8226370,678648292,165148636,771545583,89590886
9461174,772270500,177383495,914017458,104579964
4440532,470467292,126394857,414580584,46561174
931670,269166708,95459026,82746167,8732003
5183256,505836458,137153341,481549958,55111026
6319941,566568375,146876793,596944959,67873143
9586356,745817708,178431280,907057875,106198997
4240470,450217125,124430124,402780542,44118535
9370007,740300792,176080280,899944250,103513908
1028071,273401916,96258426,92186958,9653733
